Filename,Time_slope,Flip_slope,ARI_Slope
pima,0.013464054935302493,-0.5559131134352373,0.8826233275849296
wine,-0.021062463307019812,-0.3068181818181819,-0.733767931841209
cardio,0.01188646646354797,-0.21927136533878103,0.3376735806588111
letter,-0.002482878122190644,-0.38683485573437726,-0.35055816893170266
thyroid,-0.010376469256074957,-0.596177156177156,1.0621988582603832
vowels,-0.00765933070875554,-0.4119956037054482,0.8680645321981902
optdigits,0.08467565577814014,-0.17485464874139964,-0.1928089989996492
breastw,0.05227789207112102,-0.5406698564593301,0.5794642086601158
satellite,0.004025557608703992,-0.161087139810544,-0.1952577996720215
lympho,0.05713163647558123,-0.2222222222222222,-0.6041436863132185
annthyroid,0.02217996573224849,-0.6122131466355503,-0.7730389630837896
ionosphere,-0.017690696547437473,-0.26645768025078365,0.7950493976891694
wbc,-0.02031847683202163,-0.1010101010101009,0.5989267715264107
glass,-0.012810688845954503,-0.7803030303030302,0.03271412398943647
satimage-2,0.02129190500771266,-0.29476584022038566,0.7669143730456947
vertebral,-0.029898737327578813,-0.3712121212121211,-0.31543289201377983
flare,0.08620490959034469,-0.6305609284332687,-1.1735837874266077
PieChart3,-0.01822086966168822,-0.13510101010101003,-0.6934121372813978
ar4,-0.024305163577392947,-0.024242424242424242,-0.6827267785489229
PieChart2,-0.009251991247812041,-0.1427174975562072,0.22021632254789406
thoracic_surgery,0.03238613993805785,-0.4198078344419807,0.7710588785480298
ar6,-0.017048924805112706,-0.4713804713804713,0.1807520181514145
PieChart1,-0.031104024572593498,-0.25837320574162675,0.36649887768452377
arsenic-male-lung,0.056073160424401164,-0.4415204678362572,-0.7420697628162874
KungChi3,-0.021500024232318667,-0.1717171717171717,0.16834747661788893
ar3,-0.012373532031074098,-0.21212121212121213,0.7999184350428871
ar1,-0.03147588467740222,-0.16969696969696973,0.49080395492884615
MegaWatt1,-0.015812528789294993,-0.37878787878787873,-0.427744663965444
arsenic-female-bladder,0.055774773521528015,-0.41839241839241825,-0.1230437410895552
analcatdata_challenger,-0.010434025938648506,-0.24242424242424243,-0.4605625494464082
analcatdata_chlamydia,0.025843371545085158,0.5454545454545454,0.5454545454545454
arsenic-male-bladder,0.05098756806941983,-0.5955522971652003,0.2919573545561063
kc3,-0.004189614446345309,-0.1558441558441558,0.19370526390137016
CostaMadre1,0.002710762814359259,-0.21690590111642738,-0.23673950627518262
mw1,-0.03463117988509443,-0.22558922558922562,-0.04196816481164032
MeanWhile1,-0.016271687273009802,-0.06851119894598152,-0.47762888991770974
spambase,0.013027080964705513,-0.11868686868686872,-0.5168226837187582
pc1,-0.03257514795334405,-0.43966942148760324,0.7192953556589579
KnuggetChase3,-0.010766576871944064,-0.1582491582491582,0.03617005422843004
CastMetal1,-0.01644790987970588,-0.2711323763955342,-0.5543474324392155
climate-model-simulation-crashes,0.007437997212677379,-0.2665899501342539,-0.10890690067222711
appendicitis,-0.015648741645783892,-0.18181818181818188,-0.8291429059781902
PizzaCutter3,-0.02135872539721617,-0.04601571268237937,-0.5750489661805451
fertility,0.04754651975798033,-0.5468319559228649,-0.1414067919928759
analcatdata_apnea1,0.11649757085100207,0.5701459034792368,-0.5602648910324728
datatrieve,-0.009293592644622286,-0.29946524064171115,0.7617839180380797
analcatdata_apnea3,0.09777207818391402,0.5162738496071829,-0.5309514686344647
analcatdata_lawsuit,0.045150958060361894,-0.6467803030303029,1.204200340119952
visualizing_livestock,0.06917607139189015,0.4733044733044733,0.288863070099862
analcatdata_neavote,0.023740462420261604,-0.4086580086580086,-0.9547529703388987
analcatdata_apnea2,0.11507776916164478,0.6050670640834575,-0.5643410133891736
PizzaCutter1,-0.01905327537481165,-0.04242424242424241,0.12730149940380406
arsenic-female-lung,0.05694834351316009,-0.4918715047470412,-0.7302486431970555
backache,-0.001966642605799185,-0.26783968719452583,-0.5453367226114776
lungcancer_GSE31210,-0.018519363956892344,-0.12626262626262624,-0.12927609429073955
